ccode;year;state;Attribute;Value
2;2014;"""usa""";ACS;0
2;2014;"""usa""";AMU;0
2;2014;"""usa""";ANZUS;1
2;2014;"""usa""";ASEAN;0
2;2014;"""usa""";ASECNA;-9
2;2014;"""usa""";ASEF;0
2;2014;"""usa""";AU;0
2;2014;"""usa""";BENELUX;0
2;2014;"""usa""";CARICOM;0
2;2014;"""usa""";CBSS;3
2;2014;"""usa""";COE;3
2;2014;"""usa""";CSTO;0
2;2014;"""usa""";EAC;0
2;2014;"""usa""";EAPC;1
2;2014;"""usa""";EIP;0
2;2014;"""usa""";EU;0
2;2014;"""usa""";GCC;0
2;2014;"""usa""";IADefB;1
2;2014;"""usa""";ICivDO;0
2;2014;"""usa""";LATIN;0
2;2014;"""usa""";LOAS;0
2;2014;"""usa""";MFO;1
2;2014;"""usa""";NATO;1
2;2014;"""usa""";NCM;0
2;2014;"""usa""";NordC;0
2;2014;"""usa""";OAS;1
2;2014;"""usa""";OECS;0
2;2014;"""usa""";OIC;0
2;2014;"""usa""";OSCE;1
2;2014;"""usa""";PAP;0
2;2014;"""usa""";PIF;0
2;2014;"""usa""";RECSA;0
2;2014;"""usa""";SAARC;3
2;2014;"""usa""";SACU;0
2;2014;"""usa""";SIECA;0
2;2014;"""usa""";SPC;1
20;2014;"""canada""";ACS;0
20;2014;"""canada""";AMU;0
20;2014;"""canada""";ANZUS;0
20;2014;"""canada""";ASEAN;0
20;2014;"""canada""";ASECNA;-9
20;2014;"""canada""";ASEF;0
20;2014;"""canada""";AU;0
20;2014;"""canada""";BENELUX;0
20;2014;"""canada""";CARICOM;0
20;2014;"""canada""";CBSS;0
20;2014;"""canada""";COE;3
20;2014;"""canada""";CSTO;0
20;2014;"""canada""";EAC;0
20;2014;"""canada""";EAPC;1
20;2014;"""canada""";EIP;0
20;2014;"""canada""";EU;0
20;2014;"""canada""";GCC;0
20;2014;"""canada""";IADefB;1
20;2014;"""canada""";ICivDO;0
20;2014;"""canada""";LATIN;0
20;2014;"""canada""";LOAS;0
20;2014;"""canada""";MFO;1
20;2014;"""canada""";NATO;1
20;2014;"""canada""";NCM;0
20;2014;"""canada""";NordC;0
20;2014;"""canada""";OAS;1
20;2014;"""canada""";OECS;0
20;2014;"""canada""";OIC;0
20;2014;"""canada""";OSCE;1
20;2014;"""canada""";PAP;0
20;2014;"""canada""";PIF;0
20;2014;"""canada""";RECSA;0
20;2014;"""canada""";SAARC;0
20;2014;"""canada""";SACU;0
20;2014;"""canada""";SIECA;0
20;2014;"""canada""";SPC;0
31;2014;"""bahamas""";ACS;1
31;2014;"""bahamas""";AMU;0
31;2014;"""bahamas""";ANZUS;0
31;2014;"""bahamas""";ASEAN;0
31;2014;"""bahamas""";ASECNA;-9
31;2014;"""bahamas""";ASEF;0
31;2014;"""bahamas""";AU;0
31;2014;"""bahamas""";BENELUX;0
31;2014;"""bahamas""";CARICOM;1
31;2014;"""bahamas""";CBSS;0
31;2014;"""bahamas""";COE;0
31;2014;"""bahamas""";CSTO;0
31;2014;"""bahamas""";EAC;0
31;2014;"""bahamas""";EAPC;0
31;2014;"""bahamas""";EIP;0
31;2014;"""bahamas""";EU;0
31;2014;"""bahamas""";GCC;0
31;2014;"""bahamas""";IADefB;0
31;2014;"""bahamas""";ICivDO;0
31;2014;"""bahamas""";LATIN;0
31;2014;"""bahamas""";LOAS;0
31;2014;"""bahamas""";MFO;0
31;2014;"""bahamas""";NATO;0
31;2014;"""bahamas""";NCM;0
31;2014;"""bahamas""";NordC;0
31;2014;"""bahamas""";OAS;1
31;2014;"""bahamas""";OECS;0
31;2014;"""bahamas""";OIC;0
31;2014;"""bahamas""";OSCE;0
31;2014;"""bahamas""";PAP;0
31;2014;"""bahamas""";PIF;0
31;2014;"""bahamas""";RECSA;0
31;2014;"""bahamas""";SAARC;0
31;2014;"""bahamas""";SACU;0
31;2014;"""bahamas""";SIECA;0
31;2014;"""bahamas""";SPC;0
40;2014;"""cuba""";ACS;1
40;2014;"""cuba""";AMU;0
40;2014;"""cuba""";ANZUS;0
40;2014;"""cuba""";ASEAN;0
40;2014;"""cuba""";ASECNA;-9
40;2014;"""cuba""";ASEF;0
40;2014;"""cuba""";AU;0
40;2014;"""cuba""";BENELUX;0
40;2014;"""cuba""";CARICOM;0
40;2014;"""cuba""";CBSS;0
40;2014;"""cuba""";COE;0
40;2014;"""cuba""";CSTO;0
40;2014;"""cuba""";EAC;0
40;2014;"""cuba""";EAPC;0
40;2014;"""cuba""";EIP;0
40;2014;"""cuba""";EU;0
40;2014;"""cuba""";GCC;0
40;2014;"""cuba""";IADefB;0
40;2014;"""cuba""";ICivDO;0
40;2014;"""cuba""";LATIN;1
40;2014;"""cuba""";LOAS;0
40;2014;"""cuba""";MFO;0
40;2014;"""cuba""";NATO;0
40;2014;"""cuba""";NCM;0
40;2014;"""cuba""";NordC;0
40;2014;"""cuba""";OAS;1
40;2014;"""cuba""";OECS;0
40;2014;"""cuba""";OIC;0
40;2014;"""cuba""";OSCE;0
40;2014;"""cuba""";PAP;0
40;2014;"""cuba""";PIF;0
40;2014;"""cuba""";RECSA;0
40;2014;"""cuba""";SAARC;0
40;2014;"""cuba""";SACU;0
40;2014;"""cuba""";SIECA;0
40;2014;"""cuba""";SPC;0
41;2014;"""haiti""";ACS;1
41;2014;"""haiti""";AMU;0
41;2014;"""haiti""";ANZUS;0
41;2014;"""haiti""";ASEAN;0
41;2014;"""haiti""";ASECNA;-9
41;2014;"""haiti""";ASEF;0
41;2014;"""haiti""";AU;0
41;2014;"""haiti""";BENELUX;0
41;2014;"""haiti""";CARICOM;1
41;2014;"""haiti""";CBSS;0
41;2014;"""haiti""";COE;0
41;2014;"""haiti""";CSTO;0
41;2014;"""haiti""";EAC;0
41;2014;"""haiti""";EAPC;0
41;2014;"""haiti""";EIP;0
41;2014;"""haiti""";EU;0
41;2014;"""haiti""";GCC;0
41;2014;"""haiti""";IADefB;1
41;2014;"""haiti""";ICivDO;1
41;2014;"""haiti""";LATIN;1
41;2014;"""haiti""";LOAS;0
41;2014;"""haiti""";MFO;0
41;2014;"""haiti""";NATO;0
41;2014;"""haiti""";NCM;0
41;2014;"""haiti""";NordC;0
41;2014;"""haiti""";OAS;1
41;2014;"""haiti""";OECS;0
41;2014;"""haiti""";OIC;0
41;2014;"""haiti""";OSCE;0
41;2014;"""haiti""";PAP;0
41;2014;"""haiti""";PIF;0
41;2014;"""haiti""";RECSA;0
41;2014;"""haiti""";SAARC;0
41;2014;"""haiti""";SACU;0
41;2014;"""haiti""";SIECA;0
41;2014;"""haiti""";SPC;0
42;2014;"""domrepublic""";ACS;1
42;2014;"""domrepublic""";AMU;0
42;2014;"""domrepublic""";ANZUS;0
42;2014;"""domrepublic""";ASEAN;0
42;2014;"""domrepublic""";ASECNA;-9
42;2014;"""domrepublic""";ASEF;0
42;2014;"""domrepublic""";AU;0
42;2014;"""domrepublic""";BENELUX;0
42;2014;"""domrepublic""";CARICOM;0
42;2014;"""domrepublic""";CBSS;0
42;2014;"""domrepublic""";COE;0
42;2014;"""domrepublic""";CSTO;0
42;2014;"""domrepublic""";EAC;0
42;2014;"""domrepublic""";EAPC;0
42;2014;"""domrepublic""";EIP;0
42;2014;"""domrepublic""";EU;0
42;2014;"""domrepublic""";GCC;0
42;2014;"""domrepublic""";IADefB;1
42;2014;"""domrepublic""";ICivDO;0
42;2014;"""domrepublic""";LATIN;0
42;2014;"""domrepublic""";LOAS;0
42;2014;"""domrepublic""";MFO;0
42;2014;"""domrepublic""";NATO;0
42;2014;"""domrepublic""";NCM;0
42;2014;"""domrepublic""";NordC;0
42;2014;"""domrepublic""";OAS;1
42;2014;"""domrepublic""";OECS;0
42;2014;"""domrepublic""";OIC;0
42;2014;"""domrepublic""";OSCE;0
42;2014;"""domrepublic""";PAP;0
42;2014;"""domrepublic""";PIF;0
42;2014;"""domrepublic""";RECSA;0
42;2014;"""domrepublic""";SAARC;0
42;2014;"""domrepublic""";SACU;0
42;2014;"""domrepublic""";SIECA;0
42;2014;"""domrepublic""";SPC;0
51;2014;"""jamaica""";ACS;1
51;2014;"""jamaica""";AMU;0
51;2014;"""jamaica""";ANZUS;0
51;2014;"""jamaica""";ASEAN;0
51;2014;"""jamaica""";ASECNA;-9
51;2014;"""jamaica""";ASEF;0
51;2014;"""jamaica""";AU;0
51;2014;"""jamaica""";BENELUX;0
51;2014;"""jamaica""";CARICOM;1
51;2014;"""jamaica""";CBSS;0
51;2014;"""jamaica""";COE;0
51;2014;"""jamaica""";CSTO;0
51;2014;"""jamaica""";EAC;0
51;2014;"""jamaica""";EAPC;0
51;2014;"""jamaica""";EIP;0
51;2014;"""jamaica""";EU;0
51;2014;"""jamaica""";GCC;0
51;2014;"""jamaica""";IADefB;1
51;2014;"""jamaica""";ICivDO;0
51;2014;"""jamaica""";LATIN;0
51;2014;"""jamaica""";LOAS;0
51;2014;"""jamaica""";MFO;0
51;2014;"""jamaica""";NATO;0
51;2014;"""jamaica""";NCM;0
51;2014;"""jamaica""";NordC;0
51;2014;"""jamaica""";OAS;1
51;2014;"""jamaica""";OECS;0
51;2014;"""jamaica""";OIC;0
51;2014;"""jamaica""";OSCE;0
51;2014;"""jamaica""";PAP;0
51;2014;"""jamaica""";PIF;0
51;2014;"""jamaica""";RECSA;0
51;2014;"""jamaica""";SAARC;0
51;2014;"""jamaica""";SACU;0
51;2014;"""jamaica""";SIECA;0
51;2014;"""jamaica""";SPC;0
52;2014;"""trinidad""";ACS;1
52;2014;"""trinidad""";AMU;0
52;2014;"""trinidad""";ANZUS;0
52;2014;"""trinidad""";ASEAN;0
52;2014;"""trinidad""";ASECNA;-9
52;2014;"""trinidad""";ASEF;0
52;2014;"""trinidad""";AU;0
52;2014;"""trinidad""";BENELUX;0
52;2014;"""trinidad""";CARICOM;1
52;2014;"""trinidad""";CBSS;0
52;2014;"""trinidad""";COE;0
52;2014;"""trinidad""";CSTO;0
52;2014;"""trinidad""";EAC;0
52;2014;"""trinidad""";EAPC;0
52;2014;"""trinidad""";EIP;0
52;2014;"""trinidad""";EU;0
52;2014;"""trinidad""";GCC;0
52;2014;"""trinidad""";IADefB;1
52;2014;"""trinidad""";ICivDO;0
52;2014;"""trinidad""";LATIN;0
52;2014;"""trinidad""";LOAS;0
52;2014;"""trinidad""";MFO;0
52;2014;"""trinidad""";NATO;0
52;2014;"""trinidad""";NCM;0
52;2014;"""trinidad""";NordC;0
52;2014;"""trinidad""";OAS;1
52;2014;"""trinidad""";OECS;0
52;2014;"""trinidad""";OIC;0
52;2014;"""trinidad""";OSCE;0
52;2014;"""trinidad""";PAP;0
52;2014;"""trinidad""";PIF;0
52;2014;"""trinidad""";RECSA;0
52;2014;"""trinidad""";SAARC;0
52;2014;"""trinidad""";SACU;0
52;2014;"""trinidad""";SIECA;0
52;2014;"""trinidad""";SPC;0
53;2014;"""barbados""";ACS;1
53;2014;"""barbados""";AMU;0
53;2014;"""barbados""";ANZUS;0
53;2014;"""barbados""";ASEAN;0
53;2014;"""barbados""";ASECNA;-9
53;2014;"""barbados""";ASEF;0
53;2014;"""barbados""";AU;0
53;2014;"""barbados""";BENELUX;0
53;2014;"""barbados""";CARICOM;1
53;2014;"""barbados""";CBSS;0
53;2014;"""barbados""";COE;0
53;2014;"""barbados""";CSTO;0
53;2014;"""barbados""";EAC;0
53;2014;"""barbados""";EAPC;0
53;2014;"""barbados""";EIP;0
53;2014;"""barbados""";EU;0
53;2014;"""barbados""";GCC;0
53;2014;"""barbados""";IADefB;1
53;2014;"""barbados""";ICivDO;0
53;2014;"""barbados""";LATIN;0
53;2014;"""barbados""";LOAS;0
53;2014;"""barbados""";MFO;0
53;2014;"""barbados""";NATO;0
53;2014;"""barbados""";NCM;0
53;2014;"""barbados""";NordC;0
53;2014;"""barbados""";OAS;1
53;2014;"""barbados""";OECS;0
53;2014;"""barbados""";OIC;0
53;2014;"""barbados""";OSCE;0
53;2014;"""barbados""";PAP;0
53;2014;"""barbados""";PIF;0
53;2014;"""barbados""";RECSA;0
53;2014;"""barbados""";SAARC;0
53;2014;"""barbados""";SACU;0
53;2014;"""barbados""";SIECA;0
53;2014;"""barbados""";SPC;0
54;2014;"""dominica""";ACS;1
54;2014;"""dominica""";AMU;0
54;2014;"""dominica""";ANZUS;0
54;2014;"""dominica""";ASEAN;0
54;2014;"""dominica""";ASECNA;-9
54;2014;"""dominica""";ASEF;0
54;2014;"""dominica""";AU;0
54;2014;"""dominica""";BENELUX;0
54;2014;"""dominica""";CARICOM;1
54;2014;"""dominica""";CBSS;0
54;2014;"""dominica""";COE;0
54;2014;"""dominica""";CSTO;0
54;2014;"""dominica""";EAC;0
54;2014;"""dominica""";EAPC;0
54;2014;"""dominica""";EIP;0
54;2014;"""dominica""";EU;0
54;2014;"""dominica""";GCC;0
54;2014;"""dominica""";IADefB;0
54;2014;"""dominica""";ICivDO;0
54;2014;"""dominica""";LATIN;1
54;2014;"""dominica""";LOAS;0
54;2014;"""dominica""";MFO;0
54;2014;"""dominica""";NATO;0
54;2014;"""dominica""";NCM;0
54;2014;"""dominica""";NordC;0
54;2014;"""dominica""";OAS;1
54;2014;"""dominica""";OECS;1
54;2014;"""dominica""";OIC;0
54;2014;"""dominica""";OSCE;0
54;2014;"""dominica""";PAP;0
54;2014;"""dominica""";PIF;0
54;2014;"""dominica""";RECSA;0
54;2014;"""dominica""";SAARC;0
54;2014;"""dominica""";SACU;0
54;2014;"""dominica""";SIECA;0
54;2014;"""dominica""";SPC;0
55;2014;"""grenada""";ACS;1
55;2014;"""grenada""";AMU;0
55;2014;"""grenada""";ANZUS;0
55;2014;"""grenada""";ASEAN;0
55;2014;"""grenada""";ASECNA;-9
55;2014;"""grenada""";ASEF;0
55;2014;"""grenada""";AU;0
55;2014;"""grenada""";BENELUX;0
55;2014;"""grenada""";CARICOM;1
55;2014;"""grenada""";CBSS;0
55;2014;"""grenada""";COE;0
55;2014;"""grenada""";CSTO;0
55;2014;"""grenada""";EAC;0
55;2014;"""grenada""";EAPC;0
55;2014;"""grenada""";EIP;0
55;2014;"""grenada""";EU;0
55;2014;"""grenada""";GCC;0
55;2014;"""grenada""";IADefB;0
55;2014;"""grenada""";ICivDO;0
55;2014;"""grenada""";LATIN;0
55;2014;"""grenada""";LOAS;0
55;2014;"""grenada""";MFO;0
55;2014;"""grenada""";NATO;0
55;2014;"""grenada""";NCM;0
55;2014;"""grenada""";NordC;0
55;2014;"""grenada""";OAS;1
55;2014;"""grenada""";OECS;1
55;2014;"""grenada""";OIC;0
55;2014;"""grenada""";OSCE;0
55;2014;"""grenada""";PAP;0
55;2014;"""grenada""";PIF;0
55;2014;"""grenada""";RECSA;0
55;2014;"""grenada""";SAARC;0
